calories,cautions,dietLabels,CA,CHOLE,FAT,FE,FIBTG,K,MG,NA,PROCNT,SUGAR,VITC
458,"['WHEAT', 'SULFITES', 'FODMAP']","['LOW_CARB', 'LOW_SODIUM']",29.48477803,1.136625928,4.178421493,37.8575634,141.9852929,546.5733549,46.54618863,53.75660149,563.9906616,2.098361635,15.61424059
81,['SULFITES'],"['LOW_CARB', 'LOW_SODIUM']",7.3495,3.519,0.4314,1.1768,0.0,7.14,10.68,16.19,267.72,0.3868,6.196
592,"['GLUTEN', 'EGGS', 'MILK', 'TREE_NUTS', 'SULFITES', 'FODMAP']",['LOW_SODIUM'],39.99162258,11.22890542,29.60253755,17.17977205,58.84217298,393.5191757,257.3473784,135.4578967,1240.68039,4.242611232,126.9766892
257,"['MILK', 'SULFITES']",['BALANCED'],11.12916216,7.301345827,20.88205967,8.094523862,14.18513183,354.4909782,112.2812863,68.0127596,730.0841294,2.567535535,40.20861346
304,"['EGGS', 'MILK', 'FODMAP']",['LOW_CARB'],19.88239753,3.180227626,3.665255248,19.0259078,256.2212173,548.9452539,321.1836172,90.13060911,746.7012903,4.511715616,34.83488345
304,"['EGGS', 'MILK', 'FODMAP']",['LOW_CARB'],19.88239753,3.180227626,3.665255248,19.0259078,256.2212173,548.9452539,321.1836172,90.13060911,746.7012903,4.511715616,34.83488345
1058,"['GLUTEN', 'WHEAT', 'EGGS', 'MILK', 'SULFITES']",['LOW_CARB'],95.009318,2.999661527,7.471169713,37.53852219,145.4562017,932.3626529,90.01547968,50.45676405,867.3334136,4.190247064,41.68081925
229,"['GLUTEN', 'WHEAT', 'SOY', 'FISH', 'SHELLFISH', 'SULFITES']",[],10.21528592,1.949739322,12.10529321,19.39618304,65.05997253,1006.173753,44.13927611,62.43145032,511.570917,1.71272474,27.04301539
757,"['GLUTEN', 'WHEAT', 'EGGS', 'MILK', 'FODMAP']",['LOW_CARB'],51.46489258,1.635061504,4.961552241,39.56523799,153.1771139,654.2334071,159.6356918,52.78190851,649.349993,4.462600753,2.384982744
358,"['GLUTEN', 'WHEAT', 'SOY', 'FISH', 'SULFITES']",['LOW_CARB'],26.084283,0.846594342,3.513106394,24.46554093,75.83184173,584.1586569,29.50889389,37.78195505,443.0303188,2.746465943,5.242072121
897,"['GLUTEN', 'WHEAT', 'EGGS', 'MILK', 'SULFITES']",[],50.15675679,4.700618605,9.344629152,49.85008469,150.8650025,967.4432197,279.4958897,75.52644382,833.5405613,6.869393153,20.39455565
189,['SULFITES'],[],7.5637,1.247,0.8514,4.3731,0.0,797.65,9.03,10.75,77.83,1.7673,0.129
